"CaseStudy","ISO"
"SSA","NGA"
"SSA","BEN"
"SSA","CIV"
"SSA","GHA"
"SSA","GIN"
"SSA","GNB"
"SSA","LBR"
"SSA","SLE"
"SSA","TGO"
"SSA","CMR"
"SSA","CAF"
"SSA","COD"
"SSA","COG"
"SSA","GNQ"
"SSA","GAB"
"SSA","STP"
"SSA","BDI"
"SSA","KEN"
"SSA","RWA"
"SSA","TZA"
"SSA","UGA"
"SSA","DJI"
"SSA","ERI"
"SSA","ETH"
"SSA","SOM"
"SSA","SSD"
"SSA","SDN"
"SSA","BFA"
"SSA","CPV"
"SSA","TCD"
"SSA","GMB"
"SSA","MLI"
"SSA","MRT"
"SSA","NER"
"SSA","SEN"
"SSA","AGO"
"SSA","COM"
"SSA","MDG"
"SSA","MWI"
"SSA","MUS"
"SSA","MOZ"
"SSA","ZMB"
"SSA","ZWE"
"SSA","BWA"
"SSA","SWZ"
"SSA","LSO"
"SSA","NAM"
"ZAF","ZAF"
"MEX","MEX"
"BRA","BRA"
"JPN","JPN"
"KOR","KOR"
"CHN","CHN"
"IDN","IDN"
"SSA","BGD"
"IND","IND"
"USSRasia","ARM"
"USSRasia","AZE"
"USSRasia","GEO"
"WANA","BHR"
"WANA","CYP"
"WANA","IRN"
"WANA","IRQ"
"WANA","ISR"
"WANA","PSE"
"WANA","JOR"
"WANA","KWT"
"WANA","LBN"
"WANA","OMN"
"WANA","QAT"
"WANA","SAU"
"WANA","SYR"
"WANA","TUR"
"WANA","ARE"
"WANA","YEM"
"USSRasia","AFG"
"USSRasia","KGZ"
"USSRasia","TJK"
"USSRasia","TKM"
"USSRasia","UZB"
"WANA","DZA"
"WANA","EGY"
"WANA","LBY"
"WANA","MAR"
"WANA","TUN"
"USSReuropeNew","BLR"
"USSReuropeNew","KAZ"
"USSReuropeNew","MDA"
"USSReuropeNew","RUS"
"USSReuropeNew","UKR"
"USSReurope","ALB"
"USSReurope","BGR"
"USSReurope","CZE"
"USSReurope","SVK"
"USSReurope","HUN"
"USSReurope","POL"
"USSReurope","ROU"
"USSReurope","HRV"
"USSReurope","SVN"
"USSReurope","BIH"
"USSReurope","MKD"
"USSReurope","MNE"
"USSReurope","SRB"
"USSReurope","EST"
"USSReurope","LVA"
"USSReurope","LTU"
"Scandinavia","FIN"
"Scandinavia","ISL"
"Scandinavia","NOR"
"Scandinavia","SWE"
"SouthernEurope","GRC"
"SouthernEurope","ITA"
"SouthernEurope","MLT"
"SouthernEurope","PRT"
"SouthernEurope","ESP"
"RestOfEurope","AUT"
"RestOfEurope","BEL"
"RestOfEurope","LUX"
"RestOfEurope","DNK"
"RestOfEurope","FRA"
"RestOfEurope","DEU"
"IRL","IRL"
"RestOfEurope","NLD"
"RestOfEurope","CHE"
"UK","GBR"
"Australia","AUS"
"CAN","CAN"
"USA","USA"
